year;title;genre;mpa;runtime;gross;rating_count;rating;metacritic;poster_brightness
2003;Bad Boys II;Crime;R;147;138.61;219005;6.6;NA;43.273087911721056
2003;Anger Management;Comedy;PG-13;106;135.65;196829;6.2;52;64.7670254110613
2003;Bringing Down the House;Comedy;PG-13;105;132.72;33965;5.6;NA;65.11459652445919
2003;Hulk;Sci-Fi;PG-13;138;132.18;244771;5.6;54;22.118892329802847
2003;2 Fast 2 Furious;Thriller;PG-13;107;127.15;239918;5.9;NA;42.36053165093197
2003;Something's Gotta Give;Romance;PG-13;128;124.73;106888;6.7;NA;64.49498070714229
2003;Seabiscuit;History;PG-13;140;120.28;64400;7.3;NA;17.90047785492411
2003;S.W.A.T.;Crime;PG-13;117;116.93;133972;6;45;17.58794256125481
2003;Spy Kids 3-D: Game Over;Adventure;PG;84;111.76;51882;4.2;57;41.349440119840565
2003;The Last Samurai;War;R;154;111.11;381241;7.7;55;23.38450918844429
2004;Shrek 2;Animation;PG;93;436.47;398797;7.2;NA;53.860535984184146
2004;Spider-Man 2;Sci-Fi;PG-13;127;373.59;519202;7.3;NA;26.626309590110964
2004;The Passion of the Christ;Drama;R;127;370.78;205465;7.1;47;12.861342317347022
2004;Meet the Fockers;Romance;PG-13;115;279.26;243956;6.3;41;92.92776742994107
2004;The Incredibles;Animation;PG;115;261.44;627047;8;NA;30.302166255071462
2004;Harry Potter and the Prisoner of Azkaban;Family;PG;142;249.36;512765;7.9;NA;18.880237735512345
2004;The Day After Tomorrow;Sci-Fi;PG-13;124;186.74;399098;6.4;47;45.386160829980895
2004;The Polar Express;Animation;G;100;183.37;164005;6.6;NA;33.46866353338476
2004;The Bourne Supremacy;Mystery;PG-13;108;176.24;417870;7.7;NA;27.184827835144553
2004;National Treasure;Mystery;PG;131;173.01;292759;6.8;NA;35.208240455379226
2004;Shark Tale;Animation;PG;90;160.86;159775;6;48;44.11116066379686
2004;I, Robot;Sci-Fi;PG-13;115;144.8;479888;7.1;59;35.42751277258214
2004;Troy;History;R;163;133.38;467436;7.2;56;22.39963700849422
2004;Ocean's Twelve;Thriller;PG-13;125;125.54;341726;6.5;58;20.030750971559666
2004;50 First Dates;Romance;PG-13;99;120.91;313019;6.8;48;64.51947443642322
2004;Van Helsing;Fantasy;PG-13;131;120.18;235887;6.1;NA;22.071284748168964
2004;Lemony Snicket's A Series of Unfortunate Events;Family;PG;108;118.63;189119;6.8;NA;48.745247269194905
2004;Dodgeball: A True Underdog Story;Sport;PG-13;92;114.33;220023;6.7;55;69.53398935531656
2004;The Village;Mystery;PG-13;108;114.2;234160;6.5;44;15.021187088056099
2004;The Grudge;Mystery;PG-13;91;110.36;135105;5.9;49;8.700429768895255
2005;Star Wars: Episode III - Revenge of the Sith;Fantasy;PG-13;140;380.26;675212;7.5;NA;18.099487866134094
2005;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;Family;PG;143;291.71;350668;6.9;NA;48.28285564470223
2005;Harry Potter and the Goblet of Fire;Family;PG-13;157;290.01;511088;7.7;NA;13.967734352331354
2005;War of the Worlds;Sci-Fi;PG-13;116;234.28;399428;6.5;NA;11.224507131082701
2005;King Kong;Adventure;PG-13;187;218.08;376945;7.2;NA;29.565113129024724
2005;Wedding Crashers;Romance;R;119;209.22;321759;6.9;NA;76.34611192918099
2005;Batman Begins;Adventure;PG-13;140;206.85;1242886;8.2;NA;17.9572191527475
2005;Charlie and the Chocolate Factory;Family;PG;115;206.46;404124;6.6;NA;45.489322082019854
2005;Madagascar;Animation;PG;86;193.6;347194;6.9;57;30.163034260772204
2005;Mr. & Mrs. Smith;Crime;PG-13;120;186.34;431610;6.5;55;74.76352562251671
2005;Hitch;Romance;PG-13;118;179.5;285806;6.6;58;70.21169544110076
2005;The Longest Yard;Sport;PG-13;113;158.12;155524;6.4;48;43.03071296256944
2005;Fantastic Four;Family;PG-13;106;154.7;303369;5.7;40;26.4990678690604
2005;Chicken Little;Animation;G;81;135.39;81727;5.7;48;48.33601824652364
2005;Robots;Animation;PG;91;128.2;126777;6.3;NA;63.067539105529846
2005;Walk the Line;Music;PG-13;136;119.52;223519;7.8;NA;40.83591376613259
2005;The Pacifier;Action;PG;95;113.09;83536;5.6;NA;79.89866849148025
2005;Fun with Dick and Jane;Crime;PG-13;90;110.33;128672;6.1;47;66.46221578442918
2005;The 40-Year-Old Virgin;Romance;R;116;109.45;376581;7.1;NA;49.656266673555685
2005;Flightplan;Mystery;PG-13;98;89.71;147231;6.3;53;31.04082501805639
2006;Pirates of the Caribbean: Dead Man's Chest;Fantasy;PG-13;151;423.32;630267;7.3;53;21.231243007713594
2006;Night at the Museum;Family;PG;108;250.86;298438;6.4;48;24.742467822505542
2006;Cars;Animation;G;117;244.08;345908;7.1;NA;39.38709294590178
2006;X-Men: The Last Stand;Sci-Fi;PG-13;104;234.36;466750;6.7;58;24.947210399388155
2006;The Da Vinci Code;Mystery;PG-13;149;217.54;383676;6.6;46;28.947328006411343
2006;300;Action;R;117;210.61;709478;7.6;52;28.375184729432146
2006;Superman Returns;Sci-Fi;PG-13;154;200.08;264938;6;NA;24.184559640522888
2006;Happy Feet;Animation;PG;108;198;162825;6.4;NA;67.79755637990932
